cd4,cd8b,cd3,cd8
184,108,184,445
252,219,154,213
134,125,72,274
378,44,290,60
244,135,105,261
243,217,197,226
215,184,133,153
124,63,382,224
122,61,42,250
221,191,191,148
164,112,97,198
421,583,430,743
209,169,187,186
223,29,74,224
210,79,94,158
246,181,145,132
389,85,316,91
321,160,182,155
213,153,78,140
147,77,109,169
272,201,142,338
268,184,70,212
145,143,63,144
187,113,9,589
315,59,215,1
330,166,156,251
230,164,65,134
110,175,73,427
258,180,138,214
150,91,92,161
281,239,156,270
215,170,72,149
274,224,123,129
277,273,224,286
365,138,139,70
296,282,222,260
315,208,162,286
285,221,198,291
293,178,141,157
72,113,305,548
115,55,51,665
382,155,255,188
235,151,153,179
386,323,276,400
242,201,142,168
315,82,319,192
118,433,397,734
208,206,5,222
304,155,147,20
268,94,99,141
149,81,75,419
211,157,154,165
93,73,118,143
326,242,78,204
306,132,236,129
308,202,189,199
252,327,388,732
195,147,100,182
289,161,102,260
234,186,93,108
253,179,136,158
272,197,150,262
274,188,43,165
69,75,235,467
317,167,47,180
234,189,15,179
260,159,49,117
285,492,347,723
297,200,103,24
249,92,7,173
293,173,158,271
336,286,159,324
110,221,447,486
284,178,180,198
133,99,41,345
222,220,113,74
208,143,54,128
225,135,111,207
100,42,53,569
337,65,237,73
239,142,121,231
265,434,309,651
253,190,159,249
240,111,35,210
462,210,324,234
217,174,103,199
261,190,95,137
96,10,32,492
134,291,311,515
112,300,258,595
342,278,280,257
405,131,254,291
243,188,128,30
377,319,364,607
250,198,90,210
101,131,104,172
353,282,269,223
312,190,106,287
242,113,136,151
301,249,223,215
259,312,224,586
214,203,107,210
278,70,278,125
339,245,200,317
251,455,299,636
99,117,70,598
241,166,99,156
278,221,185,231
176,111,119,109
248,176,202,158
409,332,462,406
197,44,87,345
331,216,154,240
399,336,304,415
495,525,415,667
454,364,364,355
219,153,105,128
25,6,347,290
199,115,138,405
304,279,174,265
279,171,132,236
188,49,85,324
284,177,130,156
243,152,150,166
133,82,53,421
433,400,311,435
280,247,16,257
297,317,166,245
229,194,129,206
363,294,243,238
276,186,139,181
293,132,314,229
228,180,140,125
104,96,107,202
327,286,260,329
330,264,170,279
289,216,123,179
474,305,429,405
370,136,310,184
274,235,203,218
257,136,72,32
228,230,116,141
318,191,139,171
297,127,97,136
30,45,58,164
246,61,92,143
132,440,454,578
320,290,156,292
260,204,126,232
188,92,93,120
422,205,281,227
193,120,108,219
84,28,87,625
240,149,80,162
291,208,114,218
242,180,135,242
304,408,338,639
121,58,100,366
296,222,167,243
140,148,113,289
242,147,155,257
246,113,186,106
254,194,145,138
314,161,186,63
252,156,57,163
338,223,186,276
262,222,22,345
444,312,292,282
436,5,447,140
393,173,368,249
250,142,67,190
232,249,198,314
141,446,317,678
400,293,226,238
239,141,91,183
330,505,433,706
293,86,263,200
265,63,199,223
209,102,124,93
333,198,104,138
270,46,313,207
354,15,369,168
282,127,92,226
478,167,395,223
315,288,206,509
334,286,260,230
423,345,298,346
303,194,205,285
266,149,177,162
334,159,6,154
306,193,41,209
441,137,397,137
305,195,100,168
291,200,82,182
294,138,1,250
219,135,134,137
252,147,105,233
312,163,105,159
262,211,136,195
202,331,285,572
279,15,19,254
242,148,101,194
142,301,209,642
229,140,130,197
335,100,368,127
217,138,66,170
279,163,73,169
194,289,376,638
238,197,130,127
309,106,352,53
388,270,195,296
363,253,183,211
469,247,383,265
241,156,172,245
289,214,98,73
266,237,114,234
228,117,179,132
232,198,69,150
285,147,121,133
256,40,181,183
129,119,188,243
141,438,332,688
183,108,106,185
153,79,73,214
93,21,299,98
272,160,73,116
446,84,296,231
264,241,136,232
183,123,68,287
418,236,364,79
264,180,134,170
142,63,249,600
329,211,207,278
233,141,139,88
443,451,395,660
182,272,309,480
443,202,330,228
355,101,256,87
275,185,122,115
231,218,71,217
224,128,65,125
91,1,173,200
236,225,189,222
265,240,246,287
26,114,76,178
224,170,159,269
262,568,448,774
324,68,309,217
267,250,291,247
228,170,97,235
277,237,198,274
232,160,135,189
245,114,69,227
107,130,49,362
211,222,74,293
241,130,162,245
146,92,98,102
228,116,106,142
259,83,282,179
380,343,451,528
288,260,179,252
278,179,133,213
249,189,127,205
182,119,42,169
252,133,173,217
212,193,187,172
303,228,176,69
297,116,112,222
225,195,157,71
274,138,127,236
127,288,222,600
401,262,310,338
213,212,100,160
293,233,197,111
376,303,269,377
375,97,339,95
332,282,217,320
246,149,163,226
276,193,128,64
96,30,36,470
116,182,311,741
254,195,114,72
143,54,377,415
359,532,417,685
310,244,192,289
108,332,276,648
110,65,13,399
237,154,99,78
327,214,117,488
226,220,188,172
411,485,396,703
112,74,102,201
102,37,56,120
217,160,103,140
145,459,348,684
261,167,174,213
319,467,328,653
220,65,78,209
232,64,83,169
253,155,106,107
174,115,11,286
237,211,178,249
298,232,128,172
253,205,179,208
169,304,265,178
243,155,83,65
295,170,38,269
383,192,151,286
225,149,180,181
505,225,418,102
319,271,249,214
424,302,341,309
315,228,127,190
313,446,308,702
151,112,130,430
264,196,152,226
308,246,222,150
236,210,180,122
266,284,279,333
246,193,128,110
355,85,288,133
381,23,382,104
378,309,215,395
318,320,220,339
287,185,93,210
408,76,256,206
230,384,270,634
472,89,428,580
190,199,43,198
187,96,51,492
278,193,94,188
381,270,169,301
276,183,108,179
211,78,297,97
251,168,137,84
137,319,220,604
417,413,346,755
340,238,128,153
206,192,177,98
527,271,489,251
212,112,130,197
86,106,329,41
483,341,429,375
154,88,140,125
272,188,194,89
486,273,310,231
186,153,77,506
142,113,76,146
168,90,5,151
190,108,108,230
413,352,322,441
295,197,115,181
490,187,459,237
279,185,210,226
197,187,81,230
244,162,144,170
305,180,113,199
231,175,123,67
345,90,302,133
244,221,41,204
243,248,168,246
365,76,287,179
278,36,313,88
298,220,171,285
287,180,139,153
84,99,11,130
464,231,423,123
178,86,122,59
288,156,114,282
61,25,6,76
107,37,417,234
176,116,149,524
238,102,261,161
546,327,462,331
131,14,26,224
223,122,121,61
279,204,77,228
265,207,165,194
297,80,244,136
292,225,173,206
274,252,94,121
469,344,358,375
345,68,312,90
271,156,145,207
359,236,131,216
370,257,146,253
162,149,79,166
419,287,264,274
328,220,210,214
262,181,174,205
213,179,158,166
230,165,151,29
207,155,127,111
198,132,93,122
100,38,89,593
237,172,193,141
286,142,60,196
234,166,137,216
244,212,41,250
99,53,34,500
309,225,112,250
455,110,399,157
160,119,336,130
237,245,162,316
117,63,98,171
305,165,134,200
264,239,192,148
348,253,224,266
365,293,244,238
218,174,195,221
179,162,173,177
272,176,39,190
280,238,251,163
274,150,148,168
191,87,83,496
236,137,139,8
301,102,227,189
227,172,122,181
224,173,132,203
281,190,176,85
294,201,202,158
264,108,175,202
246,159,156,86
268,180,171,159
332,287,269,280
198,181,78,214
255,153,164,183
358,355,371,473
234,145,36,165
194,177,82,202
142,137,93,264
272,189,160,163
408,391,361,760
220,203,110,277
292,451,335,620
235,155,98,192
202,187,169,183
361,260,229,242
343,204,229,275
248,119,117,156
325,138,33,204
295,248,196,290
149,140,47,504
257,212,95,251
406,375,432,497
213,211,60,214
269,142,287,191
489,327,401,247
237,192,122,198
216,110,53,211
446,441,396,269
274,269,204,234
128,60,2,575
212,425,306,695
237,197,104,223
346,245,171,271
230,190,134,171
159,93,95,270
253,36,197,241
152,163,84,323
303,165,184,235
211,85,73,578
263,172,133,159
132,79,117,150
303,449,355,656
86,49,5,589
275,163,180,243
375,44,327,175
334,120,326,151
311,259,244,220
168,117,138,91
232,174,8,175
286,214,130,68
341,455,324,684
503,259,425,323
227,173,185,143
60,66,106,192
64,106,41,79
263,301,248,161
455,145,404,41
283,174,139,135
320,234,225,272
366,243,189,308
221,150,122,54
255,138,90,227
119,39,25,286
104,134,49,259
228,16,155,86
438,77,353,101
408,375,340,396
292,119,273,178
351,289,194,224
267,211,185,148
252,146,102,181
270,90,25,24
437,50,333,187
407,369,288,380
290,197,128,248
375,283,420,625
365,300,420,262
274,201,132,90
253,185,160,212
309,192,135,156
344,259,218,320
272,202,119,245
253,154,110,205
291,210,174,281
320,162,130,249
219,132,182,160
258,182,158,110
218,151,121,159
95,3,466,428
296,256,208,197
262,179,189,173
453,109,277,190
364,59,224,8
385,302,268,354
375,69,282,91
356,344,272,378
300,41,266,218
407,331,275,361
463,230,366,246
68,87,10,191
391,88,254,152
253,159,124,203
213,185,156,193
422,358,295,377
414,86,223,174
220,87,139,1
299,252,124,252
127,513,415,660
263,93,147,84
234,144,42,95
402,39,307,147
523,560,486,779
120,117,146,411
361,281,198,273
233,140,101,203
227,145,189,189
284,194,114,334
132,153,61,423
296,415,447,674
321,334,288,617
280,180,199,141
394,103,332,161
221,136,234,173
344,81,297,14
199,177,54,55
137,101,33,594
211,97,104,240
145,269,246,268
318,75,256,113
124,32,9,670
153,436,403,646
327,91,86,62
193,221,48,202
240,165,199,223
69,449,320,737
486,529,470,782
228,194,140,40
208,155,42,206
219,181,84,239
333,227,159,215
188,201,22,170
306,300,236,314
246,165,55,138
95,106,110,236
347,426,369,744
278,115,144,204
365,461,343,646
159,83,96,523
154,59,16,8
327,274,189,265
196,123,111,241
232,165,130,116
224,158,166,2
379,81,307,102
109,67,25,104
233,116,123,210
297,133,127,215
482,365,394,361
216,182,78,149
432,471,373,706
114,511,382,714
209,179,100,191
317,216,239,254
209,173,90,154
259,214,120,65
261,164,210,167
129,80,100,420
349,249,228,270
402,282,239,297
493,290,436,295
131,99,316,441
296,194,175,253
136,136,417,443
435,388,321,406
290,111,76,190
327,190,83,152
407,492,350,691
141,546,488,683
158,128,83,29
177,84,89,206
136,95,24,178
324,289,507,466
236,218,98,376
410,380,498,436
226,173,128,228
244,102,131,206
494,395,487,463
133,15,119,345
248,231,191,172
263,449,354,637
440,70,290,92
244,196,57,205
98,115,140,211
378,479,342,722
257,202,68,301
308,74,360,234
294,102,165,222
272,132,257,41
141,62,59,280
100,112,394,71
284,117,113,126
206,181,178,93
106,445,436,760
207,161,98,254
260,50,188,87
283,159,82,138
164,23,82,178
251,229,117,277
268,224,33,255
242,140,132,174
254,146,205,278
248,112,36,67
267,184,205,81
280,208,147,189
189,184,38,219
234,242,115,224
292,222,339,620
252,230,196,346
270,157,101,75
295,284,216,265
112,71,106,111
238,110,96,166
143,146,123,425
243,145,49,221
364,150,383,217
224,165,79,113
296,163,115,195
365,151,336,242
281,124,72,106
336,308,271,312
250,146,85,144
251,209,156,293
203,198,147,215
208,162,199,250
222,155,169,229
227,199,73,220
237,188,193,164
305,127,172,246
284,159,304,328
191,104,52,131
286,93,126,202
400,76,316,219
373,357,332,572
245,79,105,246
176,32,87,354
137,443,352,691
240,130,36,111
371,535,416,678
250,179,166,87
218,164,123,204
282,160,209,104
267,231,62,173
252,207,171,174
273,130,186,226
406,76,323,167
241,250,143,362
232,218,92,119
326,94,217,177
204,192,111,30
493,428,406,598
308,222,292,532
159,150,83,314
263,224,226,227
253,145,155,227
228,125,35,135
128,79,113,663
295,147,139,238
233,122,192,228
159,412,293,693
237,166,1,210
240,198,183,231
106,159,88,355
245,221,195,202
159,29,298,315
301,428,323,733
17,81,108,225
235,166,136,235
145,38,44,204
270,187,203,159
222,171,132,159
329,229,340,346
254,263,181,265
416,324,314,671
68,42,90,114
222,197,185,236
293,17,225,150
307,182,93,123
397,443,294,680
229,201,42,103
250,164,64,153
165,114,117,406
310,267,243,246
184,209,118,183
140,112,14,659
288,290,244,321
203,192,121,219
278,200,98,241
520,548,472,721
373,414,280,706
336,485,373,739
319,203,229,337
98,317,186,607
232,204,59,163
142,413,293,607
248,204,171,116
182,168,48,507
89,29,37,195
461,344,409,288
271,108,262,124
265,221,165,116
238,128,212,164
230,191,122,214
311,153,185,201
255,164,143,117
204,107,113,187
296,276,227,239
303,184,107,167
443,593,484,821
170,103,13,598
278,223,126,85
336,176,231,233
256,211,181,251
235,198,79,201
262,204,142,200
181,51,26,42
211,148,151,119
253,119,86,203
184,434,298,678
363,363,341,678
244,172,187,99
351,242,208,302
207,308,263,625
244,204,114,176
402,20,266,157
299,178,146,176
285,205,107,180
282,239,124,458
120,56,51,128
225,188,102,253
249,170,102,139
207,145,34,116
580,257,546,102
317,193,163,207
297,220,154,46
252,144,149,242
292,195,175,148
186,408,239,683
381,318,233,565
192,201,173,139
275,181,175,153
163,50,375,454
245,397,280,675
266,198,178,228
291,133,96,87
210,124,107,127
124,156,354,305
111,105,62,426
419,71,329,144
139,98,121,85
537,417,478,634
237,222,171,170
261,239,176,275
206,188,89,206
264,136,83,135
272,159,57,240
246,185,111,253
206,159,112,210
132,345,329,595
389,283,251,282
157,111,503,534
518,362,509,442
240,131,53,259
372,472,364,767
200,136,175,324
288,172,149,74
227,203,74,153
274,223,156,97
282,182,195,253
321,272,245,162
259,110,4,226
365,446,327,764
268,427,307,707
271,187,108,245
519,407,425,648
167,423,263,673
232,243,162,248
258,215,121,255
154,86,48,492
272,130,106,180
305,234,144,176
145,409,226,639
287,203,129,121
231,133,71,212
21,158,43,458
109,30,3,198
377,124,305,126
286,169,79,215
312,78,192,190
226,346,356,579
266,205,142,226
131,65,72,212
251,201,151,229
231,173,109,159
260,162,134,187
225,123,153,221
253,117,53,144
404,321,248,361
315,268,198,229
47,116,87,262
290,130,131,134
329,83,277,80
280,56,266,97
231,159,4,196
232,197,91,217
319,128,104,169
135,80,45,109
289,378,359,516
228,143,77,112
136,158,118,127
472,518,432,731
326,210,160,284
407,365,296,356
72,59,46,437
274,166,127,175
243,213,166,223
106,261,401,696
215,227,61,178
304,176,161,187
406,141,407,205
260,156,61,212
448,94,399,153
289,254,219,625
309,173,89,172
136,144,99,638
264,188,125,271
415,342,311,275
302,123,180,324
392,277,221,312
202,159,151,140
273,190,136,195
398,19,373,119
114,126,4,642
449,384,387,515
201,113,53,203
196,131,29,220
296,73,251,84
384,316,266,320
243,132,146,233
230,139,80,226
324,208,104,503
438,240,335,267
245,207,128,295
114,247,297,629
182,161,95,127
456,154,437,18
98,73,31,452
294,184,155,266
115,83,419,704
398,317,244,325
342,94,187,106
265,217,154,205
366,114,403,30
209,175,56,151
263,125,7,35
243,174,157,163
360,111,350,54
232,262,220,378
44,113,412,351
274,187,125,217
259,123,125,125
434,375,309,356
292,215,225,300
341,66,349,142
100,24,1,253
23,91,337,431
275,232,70,171
276,170,170,233
477,128,459,217
282,190,149,208
227,187,154,101
310,218,17,192
196,196,79,181
263,152,264,28
298,151,185,171
216,187,138,300
310,264,92,565
487,433,467,725
285,211,167,182
292,170,83,284
306,136,100,177
311,163,205,383
223,135,32,239
194,18,55,64
185,189,134,187
255,159,184,173
240,167,110,188
518,338,374,303
382,384,280,568
41,112,7,347
156,96,423,606
294,196,146,280
381,130,218,96
404,184,290,482
253,199,180,226
234,152,85,26
293,124,102,212
188,159,181,167
247,177,197,202
122,70,417,170
301,75,145,216
233,168,149,213
145,188,148,337
237,192,149,107
212,127,92,62
299,115,142,160
304,289,274,348
237,179,219,174
242,198,86,195
307,85,38,88
263,207,130,157
245,174,39,240
397,383,316,606
245,185,186,246
245,109,157,174
161,366,191,635
318,244,149,171
267,248,181,280
283,344,273,623
303,233,254,247
160,168,55,251
227,158,118,72
276,167,145,156
148,91,87,479
122,319,365,578
65,97,110,182
341,270,167,227
255,184,118,150
376,197,199,133
462,356,293,361
314,281,199,362
266,141,103,76
289,355,373,777
371,147,299,192
324,156,120,218
155,178,62,367
244,199,177,253
259,148,140,278
437,455,401,790
262,100,230,99
40,397,293,655
275,151,87,199
200,128,63,62
229,210,179,153
66,65,58,520
285,201,145,247
374,306,209,322
538,435,506,570
249,109,96,200
269,123,238,67
173,114,84,33
142,421,345,665
242,170,21,117
356,296,180,367
22,132,23,184
341,204,241,212
301,181,207,199
212,135,214,218
377,36,328,17
257,158,113,155
227,165,198,210
265,158,148,195
288,16,195,14
427,369,301,377
478,436,428,657
117,154,61,197
186,173,132,258
183,66,113,331
273,191,162,88
321,397,344,680
220,170,139,259
436,563,474,763
172,150,135,154
386,432,409,658
261,117,173,147
311,435,389,616
274,144,172,123
247,162,196,161
210,91,92,257
273,95,257,262
343,244,217,235
257,185,125,218
325,122,149,40
231,109,108,112
142,87,23,254
213,380,420,616
360,37,249,158
204,213,183,242
287,226,208,316
280,218,166,241
115,345,178,643
407,305,258,297
120,33,117,281
236,220,114,176
136,62,37,603
239,160,85,141
212,199,44,378
142,431,310,678
509,385,419,319
310,230,187,226
117,35,122,506
151,93,127,249
416,291,422,716
341,274,153,263
398,330,269,295
229,130,95,260
292,124,357,23
146,84,33,158
213,167,180,50
374,170,385,203
137,127,73,230
178,124,118,229
235,83,92,102
232,209,148,268
318,169,99,122
147,159,116,164
351,329,494,515
207,100,96,147
300,226,171,217
304,158,166,141
135,35,64,561
156,60,56,270
402,307,278,274
315,213,231,252
123,103,326,323
236,207,147,232
464,307,395,320
341,296,196,458
373,56,308,122
172,403,306,700
276,151,109,258
122,39,20,331
167,156,19,168
166,158,138,117
270,182,155,141
281,200,136,205
271,199,192,182
228,168,150,206
236,298,134,612
337,449,337,654
246,228,194,234
303,228,218,182
229,152,15,120
241,166,129,112
322,188,139,95
258,192,178,153
258,145,141,222
287,183,143,187
534,336,429,343
162,136,49,173
141,107,120,139
238,193,87,311
231,230,107,263
340,214,267,207
260,214,87,220
213,138,59,116
344,406,297,711
298,195,225,228
345,264,150,243
255,218,151,192
162,44,96,451
434,144,353,152
154,379,319,638
243,209,118,174
307,217,100,325
188,189,170,190
196,390,257,615
387,52,287,132
121,230,442,648
290,179,129,180
273,212,85,218
279,198,103,194
329,165,168,119
252,148,32,76
244,239,130,259
220,142,164,175
366,298,251,302
371,293,226,307
265,248,199,514
230,147,134,104
332,95,180,22
340,190,147,200
269,51,189,478
285,105,86,174
234,181,167,215
261,225,200,281
300,223,246,269
225,139,64,171
249,153,27,188
472,153,383,197
380,313,243,299
256,179,31,158
155,113,78,148
266,139,131,241
305,182,180,245
296,268,149,304
272,217,183,164
125,480,398,646
213,109,77,152
162,264,121,532
296,171,160,111
317,9,275,103
261,131,96,4
209,226,91,324
134,46,325,661
135,158,28,147
236,162,56,230
228,130,148,240
222,159,66,44
107,57,121,678
280,200,70,162
309,240,160,312
180,144,80,198
269,186,160,153
424,114,327,101
367,93,301,75
301,219,155,226
264,180,123,176
111,81,457,57
380,273,215,331
364,111,295,48
115,77,355,203
194,157,120,186
258,120,133,231
223,80,13,235
137,23,107,335
129,25,37,239
213,195,177,230
423,335,305,344
359,313,233,274
225,189,186,224
251,147,166,124
244,295,269,272
249,98,50,131
266,217,143,229
222,142,122,175
50,74,353,533
262,209,82,187
332,70,287,177
261,186,132,189
216,143,135,213
309,119,129,155
141,58,113,263
296,207,148,216
386,307,247,433
303,110,44,170
130,186,120,187
453,240,376,269
250,95,102,191
300,166,170,145
394,307,290,350
368,117,90,192
298,240,197,200
81,116,31,418
174,136,68,192
288,141,161,143
280,81,146,146
150,62,151,138
363,224,210,210
76,11,20,105
189,89,47,1
259,195,191,205
301,30,201,136
177,54,98,172
338,398,278,693
269,119,125,239
139,330,169,604
220,213,1,50
351,76,247,153
260,211,158,580
195,218,161,184
296,191,212,231
133,304,129,597
416,40,385,107
280,253,305,320
252,171,174,159
204,143,91,91
436,443,349,737
328,120,314,119
243,110,154,186
288,189,146,180
341,205,134,149
355,117,297,104
225,186,122,121
243,156,185,162
324,152,171,238
528,313,412,345
87,34,301,518
261,89,96,170
458,320,329,318
330,276,224,228
243,122,78,100
209,163,156,167
486,247,422,135
180,90,72,448
428,372,283,487
170,105,49,132
187,192,128,130
239,136,206,83
262,177,96,197
391,69,260,95
329,486,438,666
220,161,108,143
216,170,156,263
462,394,402,515
241,159,29,128
291,407,286,649
183,129,46,317
129,386,313,587
205,126,16,573
242,181,115,104
270,159,127,78
279,255,187,213
45,127,70,154
315,164,80,69
197,173,111,173
200,395,359,653
177,66,44,488
238,190,120,191
275,282,204,428
290,69,201,97
418,372,301,386
231,159,129,141
399,413,403,665
231,184,187,207
399,33,333,55
469,307,340,301
114,492,428,643
187,10,36,294
278,160,140,141
224,167,97,200
201,148,20,154
167,66,104,278
291,203,289,245
149,536,369,757
125,135,91,611
229,144,42,168
138,137,132,209
203,209,154,209
478,117,524,148
541,359,407,349
319,213,80,163
428,518,408,747
249,212,157,130
273,212,132,141
252,193,42,54
381,308,199,274
255,67,286,248
185,130,112,34
269,236,40,171
315,158,76,150
435,359,369,432
249,4,260,211
315,463,339,740
47,93,89,210
180,161,357,565
355,223,237,109
151,174,113,409
104,114,130,107
301,210,170,138
32,38,420,152
271,106,154,127
234,178,99,156
245,203,93,652
118,43,540,662
270,157,420,246
277,219,76,160
334,91,198,91
254,153,86,228
241,182,55,203
179,141,125,215
219,139,240,232
275,199,98,130
223,142,34,76
260,150,180,251
182,377,223,651
99,28,44,550
460,326,307,614
281,131,193,146
242,148,135,206
241,178,98,161
125,336,243,581
317,158,93,175
251,218,227,138
221,153,34,187
266,68,62,261
256,461,337,728
204,105,85,216
415,406,314,414
271,221,94,250
401,308,254,310
312,184,17,585
276,170,113,211
310,262,126,228
379,333,236,330
231,196,14,201
516,320,523,297
155,95,114,219
398,75,362,145
372,31,240,127
177,176,176,69
279,184,165,207
298,251,201,269
299,59,220,151
246,156,103,267
280,140,156,174
262,178,42,124
410,577,436,838
263,185,181,263
304,181,132,149
220,172,32,172
219,178,141,125
192,138,128,249
209,461,332,784
381,341,284,361
225,131,92,124
174,97,71,159
361,339,276,298
168,49,310,108
286,166,188,177
288,74,223,166
175,84,126,229
162,49,98,540
169,154,60,615
224,112,84,167
464,369,354,404
211,133,137,217
325,273,215,328
260,196,108,232
333,161,292,3
185,196,181,92
142,324,206,635
383,297,271,373
101,115,7,310
511,367,412,391
280,263,261,155
281,256,204,241
231,177,153,218
261,143,142,219
301,133,165,142
402,271,309,255
226,166,158,162
161,88,413,73
484,308,347,321
264,195,105,188
373,211,198,196
430,94,402,33
36,349,268,676
444,414,354,399
397,371,270,341
267,191,185,208
159,64,321,599
271,245,227,271
274,194,175,294
240,210,117,208
235,206,191,217
264,204,46,196
416,552,486,793
186,168,166,143
400,367,270,411
344,421,330,755
376,154,163,73
217,124,134,25
230,150,186,261
279,72,224,298
251,193,118,105
28,60,48,113
295,128,49,151
234,159,101,289
240,209,173,306
379,55,273,57
103,45,154,193
302,192,130,166
82,38,111,142
265,182,153,230
246,189,131,113
424,218,352,248
248,204,126,204
252,23,232,115
156,115,248,631
389,275,206,302
276,158,62,202
115,77,63,332
128,151,24,386
237,216,108,123
341,165,130,193
195,200,102,311
41,81,19,233
369,257,237,294
89,121,273,117
312,224,202,240
279,258,123,374
253,422,223,657
213,142,168,138
252,234,144,128
99,43,120,62
289,208,179,67
187,46,19,146
370,7,374,215
458,88,367,129
340,335,256,279
455,215,408,232
167,94,11,56
291,150,100,223
256,178,130,201
337,283,189,288
282,305,213,328
252,220,96,281
256,186,133,138
414,359,273,348
252,144,107,176
433,66,410,107
176,165,103,160
355,266,102,261
243,159,198,112
270,85,150,193
402,318,244,349
280,252,134,100
432,538,431,711
102,65,22,500
243,162,97,120
251,180,176,223
293,258,162,205
367,108,370,69
343,203,139,231
244,201,154,261
357,311,246,203
298,217,214,172
252,177,80,236
400,307,248,319
146,5,144,502
267,206,93,258
261,200,151,208
250,172,325,210
388,15,379,15
375,132,277,226
435,29,395,127
140,387,243,623
239,135,74,172
346,124,418,173
237,194,108,168
401,614,467,798
229,220,196,148
180,38,43,113
186,143,120,208
400,346,282,331
399,461,294,704
274,212,150,266
267,160,193,224
191,366,96,276
220,176,130,167
355,63,308,220
44,135,45,560
150,36,427,198
301,466,348,698
255,145,179,196
414,339,294,315
340,67,259,238
93,113,81,224
273,91,302,220
316,173,189,230
427,481,380,649
416,91,382,134
175,111,145,173
244,161,102,190
293,194,107,217
233,231,143,250
220,169,21,167
237,223,111,207
364,297,198,622
557,498,518,738
241,206,74,131
253,235,121,158
248,137,66,224
133,102,129,214
269,114,115,146
325,568,502,694
379,351,373,718
311,221,149,218
264,159,132,206
388,346,283,383
468,81,423,192
196,129,32,268
309,284,257,332
219,142,113,190
189,174,97,47
214,127,34,159
411,346,235,373
324,20,319,21
314,50,429,136
240,185,235,159
166,89,17,257
98,123,73,290
302,114,165,183
143,290,313,633
217,72,18,208
287,200,189,262
200,193,90,218
127,127,75,207
133,79,84,93
446,309,319,573
243,239,235,645
246,152,209,120
388,25,301,243
451,238,372,249
158,79,137,82
301,258,217,186
160,74,89,94
164,83,71,193
272,160,149,213
240,150,78,191
295,250,218,252
68,129,87,235
364,273,216,286
302,50,275,106
330,211,124,298
294,254,241,307
262,159,153,244
76,101,62,628
285,168,85,380
340,202,168,237
281,150,124,280
201,74,89,159
260,122,244,199
217,157,142,142
339,307,279,656
204,146,57,70
471,287,328,290
135,113,377,204
186,195,157,205
209,215,29,219
191,127,73,220
235,65,162,165
228,223,113,369
198,169,58,184
212,184,111,74
372,332,297,341
124,149,113,225
212,111,179,96
223,145,19,232
203,96,31,343
420,438,453,732
273,202,150,74
383,311,273,303
447,42,338,58
110,106,17,58
525,393,466,378
274,114,250,126
346,460,351,667
408,32,337,153
88,17,24,515
84,100,18,43
69,482,430,649
141,138,60,36
482,384,326,424
428,113,380,59
242,210,147,199
243,198,12,41
403,98,274,210
365,174,214,189
332,120,362,230
453,365,288,427
395,242,279,230
185,421,236,690
187,124,54,18
234,172,98,103
133,102,16,274
216,91,148,236
150,116,177,169
325,213,167,292
336,211,106,172
291,384,288,705
240,256,182,290
224,174,144,184
148,81,135,307
246,210,161,230
218,100,113,184
273,296,232,287
306,219,273,194
321,290,258,290
236,407,273,674
224,118,98,210
315,214,222,301
276,248,197,304
202,219,116,97
197,8,82,461
197,214,223,144
164,178,69,617
251,136,46,53
271,150,131,41
290,187,215,160
293,118,145,190
511,291,430,293
249,253,186,304
289,194,58,262
207,149,94,209
254,159,152,191
372,249,207,278
173,190,138,570
249,170,21,264
571,436,441,378
223,147,123,137
349,260,199,273
350,412,287,661
240,160,62,202
544,279,469,263
348,259,212,287
400,310,216,326
449,399,433,650
233,201,60,219
280,211,228,100
290,171,80,19
312,180,182,174
196,175,63,119
131,137,85,168
216,137,94,88
274,262,205,299
190,174,64,155
276,174,145,198
276,237,30,167
133,398,344,604
61,88,409,239
247,102,273,139
278,26,325,145
308,439,413,700
206,136,143,187
299,401,341,677
164,103,56,591
235,131,23,169
322,205,142,216
244,195,192,236
299,452,327,767
259,191,110,258
320,169,264,132
67,354,200,644
428,30,394,189
73,109,93,277
414,500,428,733
275,176,144,84
280,245,121,262
309,243,171,279
388,365,303,338
451,573,472,806
309,79,273,88
107,13,6,536
113,40,124,79
503,466,398,703
211,203,57,147
429,434,458,392
545,396,446,646
263,161,68,211
210,381,284,591
355,174,283,194
252,186,63,110
407,263,240,353
273,132,158,188
231,225,128,156
368,145,371,184
619,419,595,665
165,438,370,606
308,178,52,248
246,215,158,216
352,217,150,195
413,64,351,131
200,140,142,127
273,168,170,232
236,139,161,235
120,171,55,203
505,347,393,275
328,107,96,237
393,357,276,528
103,432,405,636
403,362,451,517
446,257,309,389
264,238,105,204
279,120,194,221
338,183,133,165
420,334,277,283
498,386,415,382
289,211,182,216
227,140,123,174
274,122,184,24
395,47,208,116
260,170,144,185
269,154,64,160
276,193,134,188
301,187,263,84
157,102,84,527
270,205,164,229
258,233,57,136
204,186,92,360
112,355,162,620
162,349,126,609
300,377,261,587
239,226,111,187
481,423,367,674
130,115,77,249
283,151,131,254
234,71,127,246
496,386,424,354
271,246,119,226
379,438,367,644
414,77,313,187
176,12,75,138
252,194,180,32
356,290,208,296
173,141,143,38
210,78,183,238
111,299,209,591
300,152,87,119
324,320,229,345
220,140,155,147
323,222,201,249
478,492,414,763
239,212,105,262
